Problem Name,Status,First Attempted,Solved Date,Number of Attempts
Plus One,Accepted,2023-11-09,2023-11-09,1
Task Scheduler,Accepted,2023-11-09,2023-11-09,1
Find Median from Data Stream,Accepted,2023-11-09,2023-11-09,5
Furthest Building You Can Reach,Accepted,2023-11-08,2023-11-08,4
Minimum Cost to Connect Sticks,Accepted,2023-03-02,2023-03-02,4
K Closest Points to Origin,Accepted,2023-11-08,2023-11-08,1
Meeting Rooms II,Accepted,2023-11-04,2023-11-04,8
Kth Smallest Element in a Sorted Matrix,Accepted,2023-11-08,2023-11-08,5
The K Weakest Rows in a Matrix,Accepted,2023-11-08,2023-11-08,5
Last Stone Weight,Accepted,2023-11-08,2023-11-08,2
Kth Largest Element in a Stream,Accepted,2023-11-08,2023-11-08,3
Count Number of Homogenous Substrings,Accepted,2023-11-08,2023-11-08,7
Reorganize String,Accepted,2023-08-26,2023-11-08,5
Top K Frequent Elements,Accepted,2023-01-26,2023-01-26,4
Kth Largest Element in an Array,Accepted,2023-11-08,2023-11-08,3
Sudoku Solver,Accepted,2023-11-08,2023-11-08,2
Valid Sudoku,Accepted,2023-09-18,2023-09-18,3
Word Break II,Not Accepted,2023-11-08,Not Solved,1
Maximize Score After N Operations,Not Accepted,2023-11-08,Not Solved,3
Unique Binary Search Trees II,Accepted,2023-11-08,2023-11-08,5
Fair Distribution of Cookies,Accepted,2023-11-08,2023-11-08,3
N-Queens,Accepted,2023-11-08,2023-11-08,1
Letter Combinations of a Phone Number,Accepted,2023-11-08,2023-11-08,2
Course Schedule IV,Accepted,2023-11-08,2023-11-08,17
Container With Most Water,Accepted,2023-09-18,2023-09-18,7
Determine if a Cell Is Reachable at a Given Time,Accepted,2023-11-07,2023-11-07,5
Eliminate Maximum Number of Monsters,Accepted,2023-11-07,2023-11-07,2
Minimum Size Subarray Sum,Accepted,2023-11-06,2023-11-06,2
Single Number II,Accepted,2023-11-06,2023-11-06,3
Evaluate Reverse Polish Notation,Accepted,2023-09-25,2023-11-06,7
Rotate List,Accepted,2023-11-06,2023-11-06,8
Triangle,Accepted,2023-11-06,2023-11-06,1
Seat Reservation Manager,Accepted,2023-11-06,2023-11-06,1
Find the Winner of an Array Game,Accepted,2023-11-05,2023-11-05,3
Design Circular Queue,Accepted,2023-06-18,2023-08-09,5
K-th Symbol in Grammar,Accepted,2023-07-09,2023-07-09,8
Range Sum Query - Mutable,Accepted,2023-11-05,2023-11-05,3
Maximum Balanced Subsequence Sum,Not Accepted,2023-11-05,Not Solved,11
Build an Array With Stack Operations,Accepted,2023-11-04,2023-11-04,2
Find Champion II,Accepted,2023-11-05,2023-11-05,1
Find Champion I,Accepted,2023-11-05,2023-11-05,1
Generate Parentheses,Accepted,2023-11-05,2023-11-05,1
Campus Bikes,Accepted,2023-11-04,2023-11-04,1
Last Moment Before All Ants Fall Out of a Plank,Accepted,2023-11-04,2023-11-04,3
Course Schedule II,Accepted,2023-11-04,2023-11-04,1
Alien Dictionary,Accepted,2023-11-04,2023-11-04,1
Palindrome Partitioning,Accepted,2023-11-04,2023-11-04,1
Count Nodes Equal to Average of Subtree,Accepted,2023-11-02,2023-11-02,3
Maximize the Confusion of an Exam,Accepted,2023-11-02,2023-11-02,7
Longest Subarray of 1's After Deleting One Element,Accepted,2023-11-02,2023-11-02,8
Shortest Path in Binary Matrix,Accepted,2023-11-02,2023-11-02,3
Find the Safest Path in a Grid,Accepted,2023-10-31,2023-10-31,7
Detonate the Maximum Bombs,Accepted,2023-11-02,2023-11-02,1
01 Matrix,Accepted,2023-08-26,2023-11-02,3
Find Mode in Binary Search Tree,Accepted,2023-11-01,2023-11-01,3
Binary Tree Vertical Order Traversal,Accepted,2023-11-01,2023-11-01,2
Minimum Knight Moves,Accepted,2023-11-01,2023-11-01,3
LRU Cache,Accepted,2023-11-01,2023-11-01,1
Shortest Bridge,Accepted,2023-10-30,2023-10-30,2
Subsets,Accepted,2023-11-01,2023-11-01,1
Number of Connected Components in an Undirected Graph,Accepted,2023-10-31,2023-10-31,3
Find The Original Array of Prefix Xor,Accepted,2023-10-31,2023-10-31,2
Path with Maximum Probability,Accepted,2023-10-31,2023-10-31,1
Network Delay Time,Accepted,2023-10-31,2023-10-31,3
Number of Islands,Accepted,2023-05-26,2023-05-26,9
Shortest Path Visiting All Nodes,Accepted,2023-10-30,2023-10-30,1
Find if Path Exists in Graph,Accepted,2023-07-02,2023-10-30,6
Word Ladder,Accepted,2023-10-30,2023-10-30,1
Maximum Depth of Binary Tree,Accepted,2023-02-23,2023-02-23,8
Binary Tree Level Order Traversal,Accepted,2023-05-09,2023-05-09,7
Serialize and Deserialize Binary Tree,Accepted,2023-10-25,2023-10-25,2
Construct Binary Tree from Inorder and Postorder Traversal,Accepted,2023-10-24,2023-10-24,5
Construct Binary Tree from Preorder and Inorder Traversal,Accepted,2023-10-23,2023-10-23,3
Binary Tree Maximum Path Sum,Accepted,2023-10-24,2023-10-24,4
Kth Smallest Element in a BST,Accepted,2023-05-09,2023-05-09,8
Validate Binary Search Tree,Accepted,2023-02-23,2023-02-23,6
Count Good Nodes in Binary Tree,Accepted,2023-10-24,2023-10-24,1
Binary Tree Right Side View,Accepted,2023-10-24,2023-10-24,1
Lowest Common Ancestor of a Binary Search Tree,Accepted,2023-02-23,2023-02-23,8
Subtree of Another Tree,Accepted,2023-06-25,2023-06-25,7
Same Tree,Accepted,2023-05-09,2023-05-09,2
Balanced Binary Tree,Accepted,2023-05-02,2023-05-02,2
Diameter of Binary Tree,Accepted,2023-05-02,2023-05-02,4
Invert Binary Tree,Accepted,2023-02-09,2023-02-09,5
Group Anagrams,Accepted,2019-10-09,2019-10-09,6
Two Sum,Accepted,2023-01-26,2023-01-26,6
Valid Anagram,Accepted,2023-08-26,2023-08-26,4
Contains Duplicate,Accepted,2022-12-02,2022-12-02,6
Linked List Cycle,Accepted,2023-10-21,2023-10-21,1
Remove Nth Node From End of List,Accepted,2023-10-21,2023-10-21,4
Reorder List,Accepted,2023-10-20,2023-10-20,2
Reverse Linked List,Accepted,2023-01-19,2023-01-19,5
Minimum Difference Between Largest and Smallest Value in Three Moves,Accepted,2023-10-18,2023-10-18,5
Binary Search,Accepted,2023-10-18,2023-10-18,2
Minimum Window Substring,Accepted,2023-09-25,2023-10-18,10
Longest Substring Without Repeating Characters,Accepted,2023-06-02,2023-06-18,13
The kth Factor of n,Accepted,2023-10-14,2023-10-14,1
Delete and Earn,Accepted,2023-10-11,2023-10-11,5
Min Stack,Accepted,2023-09-25,2023-09-25,1
Permutation in String,Accepted,2023-09-25,2023-09-25,5
Longest Repeating Character Replacement,Accepted,2023-09-25,2023-09-25,2
Best Time to Buy and Sell Stock,Accepted,2023-01-09,2023-01-09,5
3Sum,Accepted,2023-09-18,2023-09-18,6
Two Sum II - Input Array Is Sorted,Accepted,2023-09-18,2023-09-18,5
Valid Palindrome,Accepted,2023-01-19,2023-01-19,6
Longest Consecutive Sequence,Accepted,2023-09-02,2023-09-02,9
Encode and Decode Strings,Accepted,2023-09-18,2023-09-18,2
Product of Array Except Self,Accepted,2023-08-26,2023-08-26,4
Minimum Penalty for a Shop,Not Accepted,2023-09-02,Not Solved,5
Maximum Length of Pair Chain,Accepted,2023-08-26,2023-09-02,7
Excel Sheet Column Number,Accepted,2023-08-26,2023-09-02,3
Implement Stack using Queues,Accepted,2023-09-02,2023-09-02,2
Next Permutation,Accepted,2023-08-09,2023-08-26,7
Search Insert Position,Accepted,2022-12-02,2023-08-26,3
Excel Sheet Column Title,Accepted,2023-08-26,2023-08-26,3
Palindrome Permutation,Accepted,2023-08-26,2023-08-26,1
Longest Palindrome,Accepted,2023-08-26,2023-08-26,2
Shortest Palindrome,Accepted,2023-08-26,2023-08-26,2
Longest Palindromic Substring,Accepted,2023-06-09,2023-06-09,16
Find the Index of the First Occurrence in a String,Accepted,2023-08-26,2023-08-26,1
Repeated Substring Pattern,Accepted,2023-08-26,2023-08-26,8
Maximal Network Rank,Accepted,2023-08-19,2023-08-19,3
Pacific Atlantic Water Flow,Not Accepted,2023-08-19,Not Solved,1
Increasing Triplet Subsequence,Not Accepted,2023-08-19,Not Solved,4
Sliding Window Maximum,Accepted,2023-08-19,2023-08-19,7
Minimum Absolute Difference,Accepted,2023-08-09,2023-08-09,8
Simplify Path,Accepted,2023-08-09,2023-08-09,2
Minimize the Maximum Difference of Pairs,Accepted,2023-08-09,2023-08-09,4
Search in Rotated Sorted Array II,Accepted,2023-08-09,2023-08-09,3
Search in Rotated Sorted Array,Accepted,2023-08-09,2023-08-09,5
Min Cost Climbing Stairs,Accepted,2023-08-09,2023-08-09,1
N-th Tribonacci Number,Accepted,2023-08-09,2023-08-09,2
Fibonacci Number,Accepted,2023-07-02,2023-07-02,4
Reverse Words in a String,Accepted,2023-08-09,2023-08-09,1
Unique Paths II,Accepted,2023-08-09,2023-08-09,1
Sqrt(x),Accepted,2023-08-09,2023-08-09,1
Check if it is Possible to Split Array,Accepted,2023-08-09,2023-08-09,2
Faulty Keyboard,Accepted,2023-08-09,2023-08-09,1
Find First and Last Position of Element in Sorted Array,Accepted,2023-08-09,2023-08-09,3
Permutations,Accepted,2023-08-02,2023-08-02,2
Design Hit Counter,Accepted,2023-08-09,2023-08-09,1
Remove Duplicates from Sorted Array,Accepted,2023-08-09,2023-08-09,4
Search a 2D Matrix,Accepted,2023-08-09,2023-08-09,1
First Unique Character in a String,Accepted,2023-08-09,2023-08-09,2
Word Break,Accepted,2023-06-18,2023-06-18,5
Rotate Array,Accepted,2023-08-02,2023-08-02,1
Combinations,Accepted,2023-08-02,2023-08-02,1
Predict the Winner,Accepted,2023-08-02,2023-08-02,1
Max Chunks To Make Sorted II,Accepted,2023-07-19,2023-07-26,5
Sort the Matrix Diagonally,Accepted,2023-07-26,2023-07-26,1
Maximum Level Sum of a Binary Tree,Accepted,2023-07-12,2023-07-12,2
Merge Two Sorted Lists,Accepted,2023-01-26,2023-01-26,8
"Pow(x, n)",Accepted,2023-07-02,2023-07-02,4
Minimum Depth of Binary Tree,Accepted,2023-07-02,2023-07-02,1
Climbing Stairs,Accepted,2023-06-09,2023-06-09,6
Reverse Vowels of a String,Accepted,2023-06-25,2023-07-02,3
Pascal's Triangle II,Accepted,2023-06-25,2023-06-25,4
Search in a Binary Search Tree,Accepted,2023-06-25,2023-06-25,2
Swap Nodes in Pairs,Accepted,2023-06-25,2023-06-25,2
Reverse String,Accepted,2023-06-25,2023-06-25,3
Convert Sorted Array to Binary Search Tree,Accepted,2023-06-25,2023-06-25,1
Count Univalue Subtrees,Accepted,2023-06-25,2023-06-25,6
Total Cost to Hire K Workers,Not Accepted,2023-06-25,Not Solved,1
Path Sum,Accepted,2023-06-25,2023-06-25,3
Symmetric Tree,Accepted,2023-06-25,2023-06-25,2
Binary Tree Postorder Traversal,Accepted,2023-06-25,2023-06-25,2
Binary Tree Inorder Traversal,Accepted,2023-06-25,2023-06-25,1
Binary Tree Preorder Traversal,Accepted,2023-06-25,2023-06-25,5
Minimum Remove to Make Valid Parentheses,Not Accepted,2023-06-25,Not Solved,4
Two City Scheduling,Accepted,2023-06-25,2023-06-25,1
Median of Two Sorted Arrays,Accepted,2023-06-18,2023-06-18,3
Maximum Subarray,Accepted,2022-12-02,2023-03-26,4
Jump Game,Accepted,2023-06-18,2023-06-18,4
Longest Common Subsequence,Not Accepted,2023-06-18,Not Solved,3
Longest Increasing Subsequence,Accepted,2023-06-18,2023-06-18,2
Unique Paths,Accepted,2019-10-09,2019-10-09,3
Maximum Product Subarray,Accepted,2023-06-18,2023-06-18,8
Coin Change,Accepted,2023-06-18,2023-06-18,5
Decode Ways,Accepted,2023-06-11,2023-06-18,6
Palindromic Substrings,Accepted,2023-06-09,2023-06-09,2
House Robber II,Accepted,2023-06-09,2023-06-09,2
House Robber,Accepted,2023-06-09,2023-06-09,1
Implement Trie (Prefix Tree),Accepted,2023-06-09,2023-06-09,1
Minimum Rounds to Complete All Tasks,Accepted,2023-06-02,2023-06-02,1
Clone Graph,Accepted,2023-05-26,2023-05-26,1
Matrix Diagonal Sum,Accepted,2023-05-09,2023-05-09,1
Spiral Matrix,Accepted,2023-04-25,2023-05-09,2
Sign of the Product of an Array,Accepted,2023-05-02,2023-05-02,9
Average Salary Excluding the Minimum and Maximum Salary,Accepted,2023-05-02,2023-05-02,1
Add Digits,Accepted,2023-04-25,2023-04-25,2
Bulb Switcher,Accepted,2023-04-25,2023-04-25,8
Happy Number,Accepted,2023-04-25,2023-04-25,2
Multiply Strings,Accepted,2023-04-25,2023-04-25,2
Longest Common Prefix,Accepted,2023-04-25,2023-04-25,3
Counting Bits,Accepted,2023-04-09,2023-04-09,2
Number of 1 Bits,Accepted,2023-04-09,2023-04-09,1
Prime Subtraction Operation,Not Accepted,2023-03-26,Not Solved,1
K Items With the Maximum Sum,Accepted,2023-03-26,2023-03-26,1
Substrings That Begin and End With the Same Letter,Accepted,2023-03-02,2023-03-02,1
Merge k Sorted Lists,Accepted,2023-03-02,2023-03-02,1
Find the Maximum Number of Marked Indices,Accepted,2023-02-23,2023-03-02,5
Find the Divisibility Array of a String,Accepted,2023-02-23,2023-02-23,3
Left and Right Sum Differences,Accepted,2023-02-23,2023-02-23,1
Maximum Difference by Remapping a Digit,Accepted,2023-02-23,2023-02-23,2
Minimum Operations to Reduce an Integer to 0,Accepted,2023-02-16,2023-02-16,1
Merge Two 2D Arrays by Summing Values,Accepted,2023-02-16,2023-02-16,2
Find Minimum in Rotated Sorted Array,Accepted,2023-01-19,2023-01-19,3
Valid Parentheses,Accepted,2023-01-19,2023-01-19,1
First Bad Version,Accepted,2022-12-02,2022-12-02,1
Find Pivot Index,Accepted,2022-11-18,2022-11-18,1
Running Sum of 1d Array,Accepted,2022-11-09,2022-11-09,2
Isomorphic Strings,Accepted,2022-11-09,2022-11-09,1
Majority Element,Accepted,2022-11-09,2022-11-09,1
Single Number,Accepted,2022-11-09,2022-11-09,1
Rotate Image,Accepted,2019-10-09,2019-10-09,1
Length of Last Word,Accepted,2019-08-09,2019-08-09,1
Roman to Integer,Accepted,2018-09-09,2018-09-09,1
Binary Tree Paths,Not Accepted,2018-08-09,Not Solved,1
Move Zeroes,Accepted,2018-08-09,2018-08-09,1
